id,name
0,fake news
1,donald trump
2,president trump
3,vote trump
4,books on trump
5,god and donald trump
6,Conservative News
7,Conservative Newspaper
8,Rex Tillerson
9,ISIS
10,Senate Foreign Relations
11,Ben Cardin
12,State Department
13,Syria
14,National Security
15,Senate
16,Joel Gehrke
17,Congress
18,News
19,Politics
20,Fake News
21,Clinton Foundation
22,Becket Adams
23,Social Media
24,Foreign Policy
25,Nuclear Weapons
26,Media
27,Donald Trump
28,Twitter
29,Vladimir Putin
30,New York Times
31,Russia
32,Canada
33,Bill Clinton
34,Hillary Clinton
35,President
36,Barack Obama
37,White House
38,Opinion
39,Beltway Confidential
40,The Pentagon
41,Byron York
42,Malcolm Turnbull
43,Naomi Lim
44,Refugees
45,TPP
46,Australia
47,Dream Act
48,Law
49,Justice Department
50,Kelly Cohen
51,Jeff Sessions
52,Supreme Court
53,Immigration
54,Philip Wegmann
55,Philadelphia
56,Bankruptcy
57,Ethanol
58,Energy and Environment
59,Blog Contributors
60,Palestinian Authority
61,Hamas
62,Palestinians
63,History
64,Middle East
65,United Nations
66,Terrorism
67,Israel
68,Betsy DeVos
69,Jason Russell
70,School Choice
71,School Vouchers
72,Food and Drink
73,Education
74,Missouri
75,Tom Tancredo
76,Super PACs
77,Chris Christie
78,Campaigns
79,Gabby Morrongiello
80,2016 Elections
81,Washington Examiner Staff
82,Insurance Industry
83,Magazine
84,Teachers Unions
85,Teachers
86,Auto Industry
87,GAO
88,FDA
89,Anna Giaritelli
90,Journalists
91,NBC
92,Books
93,Tom Rogan
94,Paris
95,Nicolas Maduro
96,South America
97,Venezuela
98,Socialism
99,United Kingdom
100,Germany
101,Campus Speech Codes
102,Campus Free Speech
103,Red Alert Politics
104,Alabama
105,College
106,Sarah Westwood
107,Benghazi Select Committee
108,Libya
109,Benghazi
110,Watchdog
111,opioids
112,Big Pharma
113,addiction epidemic
114,drug
115,NaturalNews
116,prescription
117,lactose intolerance
118,irradiated milk
119,osteoporosis
120,dairy
121,Fukushima
122,milk
123,reasons
124,food
125,Permission marketing
126,probiotics
127,apple cider vinegar
128,kombucha
129,foods
130,probiotic
131,health
132,bacteria
133,Kombucha
134,vdare.com
135,blog
136,Health food products
137,
138,Big Government
139,mark levin
140,United States
141,Trump
142,INF Treaty
143,NDAA
144,National Defense Authorization Act
145,Portugal
146,Spain
147,France
148,Cold War
149,david letterman
150,barack obama
151,netflix
152,department of justice
153,daily beast
154,investigation
155,hillary clinton emails
156,tom perez
157,slams
158,trump
159,cruel
160,salvadorans
161,protection
162,chuck schumer
163,blamed
164,government shutdown
165,Spending
166,Government Shutdown
167,Continuing Resolution
168,Chuck Schumer
169,Susan Ferrechio
170,michael hayden
171,sthole countries
172,daca
173,haiti
174,el salvador
175,africa
176,antonio sabato jr
177,oprah winfrey
178,president
179,2020
180,golden globes
181,bill clinton
182,myanmar
183,calls
184,release
185,reuters
186,journalists
