id,name
0,awm.com
1,beforeitsnews.com
2,cnnnext.com
3,bipartisanreport.com
4,blackagendareport.com
5,awarenessact.com
6,canadafreepress.com
7,christianpost.com
8,charismanews.com
9,barenakedislam.com
10,breakpoint.org
11,collectivelyconscious.net
12,alternet.org
13,washingtonexaminer.com
14,nationalreview.com
15,willyloman.wordpress.com
16,unz.com
17,21stcenturywire.com
18,washingtonsblog.com
19,undergroundhealth.com
20,naturalnews.com
21,vdare.com
22,americanlookout.com
23,anonhq.com
24,strategic-culture.org
25,breitbart.com
26,wallstreetonparade.com
27,city-journal.org
28,www.newsmax.com
